provider_id,program_id,provider_type,legal_name,normalized_name,jurisdiction,authorization_date,current_status,practice_areas_raw,practice_areas_list,ownership_structure,uses_technology,uses_ai,website,first_seen_snapshot_id,last_seen_snapshot_id,source_url,retrieved_at,scraper_version
prov_az_abs_00029a76744b,prog_az_abs,entity,"Sambare, Qin & Gudise, LLC",sambare qin and gudise,AZ,,active,"[""Immigration""]",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_0022c4e8a5da,prog_az_abs,entity,Arizona Immigration & Legal Services (AILS Law Group),arizona immigration and legal services ails law group,AZ,,active,"[""Immigration""]",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_014ac31652dd,prog_az_abs,entity,"Access Justice Group, LLC",access justice group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_031d21386ac0,prog_az_abs,entity,Big Auto-Accident Attorneys PLLC,big auto accident attorneys,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_03fbcfbbffeb,prog_az_abs,entity,"Hive Legal, LLC",hive legal,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_05b2d06c2b6c,prog_az_abs,entity,"Creative Planning Legal Services, LLC",creative planning legal services,AZ,,active,"[""Estate Planning""]",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_065099d2aa5d,prog_az_abs,entity,"Justice On Demand, PLLC",justice on demand,AZ,,active,"[""Personal Injury - Plaintiff""]",,,,,https://Justiceondemand.com,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_072ca9c0549b,prog_az_abs,entity,"Elias Mendoza Hill Law Group, LLC",elias mendoza hill law group,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_08054cf441e1,prog_az_abs,entity,"Cactus Blossom Legal, LLC",cactus blossom legal,AZ,,exited,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_086f3bd6bbe5,prog_az_abs,entity,"Globiliti Legal, LLC (dba VisaPlace Legal, LLC)",globiliti legal dba visaplace legal,AZ,,active,"",,,,,https://www.globilitilegal.com/,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_0919b075ba96,prog_az_abs,entity,"Wall and Olson, LLC (dba Bridgemont Group)",wall and olson dba bridgemont group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_09fe55198c71,prog_az_abs,entity,"TRT Legal, PLLC (dba Canopy Legal Partners)",trt legal dba canopy legal partners,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_0a02d2688d62,prog_az_abs,entity,"Copper Wren Law, LLC",copper wren law,AZ,,active,"[""All Arizona Counties""]",,,,,https://govswift.com,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_0d6f26544ee5,prog_az_abs,entity,"Law Max Group, LLC",law max group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_112163644e6f,prog_az_abs,entity,"Ethic Alliance Legal Group, LLC",ethic alliance legal group,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_12111ef70166,prog_az_abs,entity,"Trajan Estate, LLC",trajan estate,AZ,,active,"[""All Arizona Counties""]",,,,,https://www.trajanestate.com,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_175e7fcaaac1,prog_az_abs,entity,"Premier Injury Law Groups, LLC",premier injury law groups,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_1ae6f16bb77a,prog_az_abs,entity,"TRT Legal, PLLC",trt legal,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_1b64827a3a30,prog_az_abs,entity,"McCormick Law, Car Wreck Attorneys PLLC",mccormick law car wreck attorneys,AZ,,exited,"[""All Arizona Counties""]",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_1b9d15c4b597,prog_az_abs,entity,"CE Acceleration Studio, LLC",ce acceleration studio,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_1e2ff67bfaf4,prog_az_abs,entity,"Outreach Legal, LLC",outreach legal,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_1ea1cfb11661,prog_az_abs,entity,"DB Justice Group, LLC (Formerly, Don Bivens Justice Group, LLC)",db justice group formerly don bivens justice group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_218597df6e20,prog_az_abs,entity,"Saddle Rock Legal Group, LLC",saddle rock legal group,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_22931e3112aa,prog_az_abs,entity,"Inmigracion Al Dia AZ, PLLC (DBA Amigos Al Dia)",inmigracion al dia az dba amigos al dia,AZ,,exited,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_22fc6d2a8964,prog_az_abs,entity,"LITCO ABS, Inc.",litco abs,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_2485551b9a79,prog_az_abs,entity,"Harmony Law, PLLC",harmony law,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_24ac1864eb8a,prog_az_abs,entity,"SiliconPath, PLLC",siliconpath,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_2593a96b2f80,prog_az_abs,entity,"AZ Law Now, LLC",az law now,AZ,,active,"",,,,,https://azlawnow.com/,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_2dce6cb9f12d,prog_az_abs,entity,"BLS Law, LLC",bls law,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_2f317461b00d,prog_az_abs,entity,"Aracor Law, LLC",aracor law,AZ,,active,"",,,,,https://aracorlaw.com,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_3001f84ab97c,prog_az_abs,entity,"National Niner, LLC",national niner,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_302fc0bc7de8,prog_az_abs,entity,"Motion Law, LLC",motion law,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_30c28e3f84a6,prog_az_abs,entity,"WesternTrust Law, LLC",westerntrust law,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_315a3cd9ad1b,prog_az_abs,entity,"PatentVest, Inc.",patentvest,AZ,,active,"",,,,,https://www.patentvest.com,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_3397cbf21c74,prog_az_abs,entity,"Bay Point Legal Partners, PLLC",bay point legal partners,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_33babb3854ff,prog_az_abs,entity,"Homefront Group, LLC",homefront group,AZ,,active,"[""VA Disability"", ""Mass Tort"", ""Government Claims""]",,,,,https://homefrontgroup.com,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_35cbdcdcceb3,prog_az_abs,entity,"JusticeDirect Law Firm, LLC",justicedirect law firm,AZ,,active,"",,,,,https://www.justicedirect.com,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_35ec017697a4,prog_az_abs,entity,"Magic Law Group, Inc.",magic law group,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_3655ac3d47d9,prog_az_abs,entity,"Bad Drug Law Firm, PLLC (dba Bad Law)",bad drug law firm dba bad law,AZ,,active,"[""Law""]",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_370b92a7b670,prog_az_abs,entity,"Fidelity Legal, LLC (Formerly, Case Partners, LLC)",fidelity legal formerly case partners,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_375d4992f966,prog_az_abs,entity,Shared Practices LLC,shared practices,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_37ded03a7b17,prog_az_abs,entity,"iVisa Legal, LLC",ivisa legal,AZ,,active,"[""Immigration"", ""Documentation""]",,,,,https://ivisalegal.com/,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_3b0c47642b5c,prog_az_abs,entity,"Copper State Legal Services, LLC",copper state legal services,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_3b5b919aacec,prog_az_abs,entity,"Kaplan Law, LLC",kaplan law,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_3bee264c2411,prog_az_abs,entity,"Bergman Basha, LLC",bergman basha,AZ,,active,"[""Civil Litigation""]",,,,,https://us-west-2.protection.sophos.com?d=bergmanbasha.com&u=aHR0cDovL3d3dy5iZXJnbWFuYmFzaGEuY29t&i=NjNjYWNjMmY0N2I4MmYzM2VhMDA5NzFk&t=aG0zMm5XNXZzbDRLUjNPa1pIcThybDdVNTd5bTRxVU5hNjJleUp2UnN1Yz0=&h=1fe2b162d0ca4f48be26c70ff660efa4&s=AVNPUEhUT0NFTkNSWVBUSVbCqm-7R53HO-Pkk_1Y-fnpM61xRDKdwasPnGkUJmB_9g,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
